file,pages,tagged,size_kb,pdfix_median_ms,pdfix_min_ms,pdfix_stdev_ms,odl_median_s,odl_min_s,odl_stdev_s,ratio_odl_over_pdfix
ap-solved.pdf,2,true,81.8,690.71,662.12,22.98,2.295,2.276,0.064,3.3
as-duplicated-table-headers-fake.pdf,1,true,112.9,190.61,181.3,11.57,2.163,1.981,0.122,11.3
as-error-h1-unwanted.pdf,2,true,66.9,381.68,371.76,7.79,2.231,2.165,0.113,5.8
bg-solved.pdf,1,true,66.3,104.43,97.97,5.11,1.9,1.863,0.145,18.2
cc-solved.pdf,1,true,123.8,111.32,107.72,18.02,1.857,1.733,0.075,16.7
cg-dovrebbeessere100.pdf,1,true,87.2,100.8,62.18,23.84,1.995,1.905,0.155,19.8
ep.pdf,1,true,29.8,101.36,98.35,6.6,1.761,1.685,0.068,17.4
fp-table-solved.pdf,3,true,192.6,892.83,876.77,18.34,2.97,2.828,0.099,3.3
ga-consevutive-lists-solved.pdf,2,true,340.6,199.17,197.79,10.17,2.282,2.269,0.057,11.5
gs-too-many-values-error.pdf,1,true,216.3,164.25,155.6,5.57,2.099,1.951,0.097,12.8
mc-table-solved.pdf,1,true,174.3,508.58,433.77,51.83,2.043,1.988,0.103,4.0
os-image-inside-p-not-showed.pdf,1,true,251.5,274.87,247.21,41.92,1.994,1.988,0.086,7.3
rs-no-headers.pdf,4,true,111.2,407.36,323.74,56.7,2.354,2.331,0.026,5.8
sm-empty-table-cells-fake.pdf,1,true,640.6,267.06,263.69,28.95,2.584,2.385,0.146,9.7
sm-empty-table-fake-positive.pdf,1,true,640.6,304.17,267.58,34.68,2.762,2.465,0.292,9.1
unrecognised-h-in-table.pdf,1,true,168.9,500.59,395.0,81.51,2.532,2.252,0.162,5.1
compito.pdf,1,true,114.4,191.6,185.77,7.21,2.941,2.159,0.527,15.3
attestato.pdf,1,false,1008.4,16.38,15.73,0.56,1.797,1.745,0.142,109.7
cl-figdes-fignondesc.pdf,1,true,199.9,97.53,96.08,8.01,2.326,2.146,0.143,23.8
clm-solved-maybe.pdf,1,true,160.1,428.06,415.84,108.27,2.437,2.165,0.208,5.7
cs-alt-dentro-tab-non-ric.pdf,2,true,145.1,347.38,309.26,44.21,2.468,2.359,0.068,7.1
ea-repeat-errors-validation.pdf,1,true,502.8,8343.53,7608.35,867.56,2.798,2.594,0.175,0.3
ec-h-has-only-image.pdf,2,true,162.3,191.22,190.99,0.76,1.845,1.833,0.12,9.6
ek-solved-maybe.pdf,2,true,92.1,280.61,278.24,13.93,2.017,1.89,0.181,7.2
ep-h1-is-not-first.pdf,1,true,89.0,131.48,118.69,11.56,2.048,1.962,0.064,15.6
gc-h2-figure-same-row.pdf,1,true,74.3,94.54,93.74,5.24,1.933,1.864,0.07,20.4
gc-shift-enter-space-joined-words.pdf,1,true,92.0,116.18,103.48,8.65,1.904,1.832,0.044,16.4
mfr-dovrebbeessere100.pdf,1,true,116.6,108.16,101.62,9.16,2.053,1.836,0.159,19.0
mgc-found-no-vaid-h1-is-false.pdf,2,true,38.1,604.09,577.29,102.27,2.442,2.424,0.011,4.0
ol.pdf,1,true,32.8,177.16,110.55,47.39,1.926,1.881,0.028,10.9
zaccur-repeat-errors-validationi pdf.pdf,1,true,110.5,349.7,303.94,28.68,2.131,2.09,0.024,6.1
imgs.pdf,1,true,210.1,70.83,68.41,1.61,1.84,1.835,0.114,26.0
notags.pdf,4,false,5333.9,21.97,20.17,1.15,1.482,1.393,0.095,67.4
